"","AREAYEAR","industry_pool","AREA","YEAR","employment","occ_code","ayo","inc","tot_pop","college_pct","over25_pct","median_home_value","tot_emp"
"1","101802010","business_services","10180",2010,8328,11,"10180201011",40630,164941,0.208943642407579,0.632874785529371,90900,69596
"2","101802010","consumer_services","10180",2010,31701,12,"10180201012",40630,164941,0.208943642407579,0.632874785529371,90900,69596
"3","101802010","goods_producing","10180",2010,8899,13,"10180201013",40630,164941,0.208943642407579,0.632874785529371,90900,69596
"4","101802010","logistics_util","10180",2010,26328,14,"10180201014",40630,164941,0.208943642407579,0.632874785529371,90900,69596
"5","101802010","public_nonprofit","10180",2010,3488,15,"10180201015",40630,164941,0.208943642407579,0.632874785529371,90900,69596
"6","101802011","business_services","10180",2011,8746,11,"10180201111",40659,165858,0.208114270639004,0.639908837680425,81900,65685
"7","101802011","consumer_services","10180",2011,28851,12,"10180201112",40659,165858,0.208114270639004,0.639908837680425,81900,65685
"8","101802011","goods_producing","10180",2011,8253,13,"10180201113",40659,165858,0.208114270639004,0.639908837680425,81900,65685
"9","101802011","logistics_util","10180",2011,27067,14,"10180201114",40659,165858,0.208114270639004,0.639908837680425,81900,65685
"10","101802011","public_nonprofit","10180",2011,2769,15,"10180201115",40659,165858,0.208114270639004,0.639908837680425,81900,65685
"11","101802012","business_services","10180",2012,8950,11,"10180201211",43407,167800,0.212434938960916,0.629737783075089,94600,68183
"12","101802012","consumer_services","10180",2012,29860,12,"10180201212",43407,167800,0.212434938960916,0.629737783075089,94600,68183
"13","101802012","goods_producing","10180",2012,9315,13,"10180201213",43407,167800,0.212434938960916,0.629737783075089,94600,68183
"14","101802012","logistics_util","10180",2012,26838,14,"10180201214",43407,167800,0.212434938960916,0.629737783075089,94600,68183
"15","101802012","public_nonprofit","10180",2012,1680,15,"10180201215",43407,167800,0.212434938960916,0.629737783075089,94600,68183
"16","101802013","business_services","10180",2013,10704,11,"10180201311",44149,168144,0.22061229926174,0.625130840232182,86800,73159
"17","101802013","consumer_services","10180",2013,34329,12,"10180201312",44149,168144,0.22061229926174,0.625130840232182,86800,73159
"18","101802013","goods_producing","10180",2013,8146,13,"10180201313",44149,168144,0.22061229926174,0.625130840232182,86800,73159
"19","101802013","logistics_util","10180",2013,29109,14,"10180201314",44149,168144,0.22061229926174,0.625130840232182,86800,73159
"20","101802013","public_nonprofit","10180",2013,2414,15,"10180201315",44149,168144,0.22061229926174,0.625130840232182,86800,73159
"21","101802014","business_services","10180",2014,10746,11,"10180201411",44303,166900,0.216393009972289,0.63567405632115,98900,73410
